  i|lex | TI |  sn
  0|   t|  -1|  1
  1|   f|  -1|  1
  2|   i|  14|  1
  3|   (|  -1|  1
  4|   t|  -1|  1
  5|   i|  15|  1
  6|   )|  -1|  1
  7|   {|  -1|  2
  8|   t|  -1|  3
  9|   i|  16|  3
 10|   ;|  -1|  3
 11|   i|  16|  4
 12|   =|  -1|  4
 13|   i|  16|  4
 14|   v|  -1|  4
 15|   l|  17|  4
 16|   ;|  -1|  4
 17|   t|  -1|  5
 18|   f|  -1|  5
 19|   i|  18|  5
 20|   (|  -1|  5
 21|   t|  -1|  5
 22|   i|  19|  5
 23|   )|  -1|  5
 24|   {|  -1|  6
 25|   i|  19|  7
 26|   =|  -1|  7
 27|   i|  19|  7
 28|   v|  -1|  7
 29|   l|  20|  7
 30|   v|  -1|  7
 31|   l|  21|  7
 32|   ;|  -1|  7
 33|   r|  -1|  8
 34|   i|  19|  8
 35|   ;|  -1|  8
 36|   }|  -1|  9
 37|   t|  -1| 10
 38|   i|  22| 10
 39|   ;|  -1| 10
 40|   i|  22| 11
 41|   =|  -1| 11
 42|   i|  18| 11
 43|   (|  -1| 11
 44|   l|  23| 11
 45|   )|  -1| 11
 46|   v|  -1| 11
 47|   i|  15| 11
 48|   ;|  -1| 11
 49|   t|  -1| 12
 50|   i|  24| 12
 51|   ;|  -1| 12
 52|   i|  24| 13
 53|   =|  -1| 13
 54|   i|   4| 13
 55|   (|  -1| 13
 56|   i|  22| 13
 57|   )|  -1| 13
 58|   ;|  -1| 13
 59|   i|   0| 14
 60|   (|  -1| 14
 61|   i|  24| 14
 62|   )|  -1| 14
 63|   ;|  -1| 14
 64|   r|  -1| 15
 65|   l|  25| 15
 66|   ;|  -1| 15
 67|   }|  -1| 16
 68|   t|  -1| 17
 69|   f|  -1| 17
 70|   i|  26| 17
 71|   (|  -1| 17
 72|   t|  -1| 17
 73|   i|  27| 17
 74|   )|  -1| 17
 75|   {|  -1| 18
 76|   t|  -1| 19
 77|   i|  28| 19
 78|   =|  -1| 19
 79|   i|   9| 19
 80|   (|  -1| 19
 81|   )|  -1| 19
 82|   ;|  -1| 19
 83|   t|  -1| 20
 84|   i|  29| 20
 85|   =|  -1| 20
 86|   i|   6| 20
 87|   (|  -1| 20
 88|   i|  27| 20
 89|   )|  -1| 20
 90|   ;|  -1| 20
 91|   i|  11| 21
