  i|lex | TI |  sn
  0|   t|  -1|  1
  1|   f|  -1|  1
  2|   i|  14|  1
  3|   (|  -1|  1
  4|   t|  -1|  1
  5|   i|  15|  1
  6|   )|  -1|  1
  7|   {|  -1|  2
  8|   t|  -1|  3
  9|   i|  16|  3
 10|   ;|  -1|  3
 11|   i|  16|  4
 12|   =|  -1|  4
 13|   i|  16|  4
 14|   v|  -1|  4
 15|   l|  17|  4
 16|   ;|  -1|  4
 17|   t|  -1|  5
 18|   f|  -1|  5
 19|   i|  18|  5
 20|   (|  -1|  5
 21|   t|  -1|  5
 22|   i|  19|  5
 23|   )|  -1|  5
 24|   {|  -1|  6
 25|   i|  19|  7
 26|   =|  -1|  7
 27|   i|  19|  7
 28|   v|  -1|  7
 29|   l|  20|  7
 30|   v|  -1|  7
 31|   l|  21|  7
 32|   ;|  -1|  7
 33|   r|  -1|  8
 34|   i|  19|  8
 35|   ;|  -1|  8
 36|   }|  -1|  9
 37|   t|  -1| 10
 38|   i|  22| 10
 39|   ;|  -1| 10
 40|   i|  22| 11
 41|   =|  -1| 11
 42|   i|  18| 11
 43|   (|  -1| 11
 44|   l|  23| 11
 45|   )|  -1| 11
 46|   v|  -1| 11
 47|   i|  15| 11
 48|   ;|  -1| 11
 49|   t|  -1| 12
 50|   i|  24| 12
 51|   ;|  -1| 12
 52|   i|  24| 13
 53|   =|  -1| 13
 54|   i|   4| 13
 55|   (|  -1| 13
 56|   i|  22| 13
 57|   )|  -1| 13
 58|   ;|  -1| 13
 59|   i|   0| 14
 60|   (|  -1| 14
 61|   i|  24| 14
 62|   )|  -1| 14
 63|   ;|  -1| 14
 64|   r|  -1| 15
 65|   l|  25| 15
 66|   ;|  -1| 15
 67|   }|  -1| 16
 68|   t|  -1| 17
 69|   f|  -1| 17
 70|   i|  26| 17
 71|   (|  -1| 17
 72|   t|  -1| 17
 73|   i|  27| 17
 74|   )|  -1| 17
 75|   {|  -1| 18
 76|   t|  -1| 19
 77|   i|  28| 19
 78|   =|  -1| 19
 79|   i|   9| 19
 80|   (|  -1| 19
 81|   )|  -1| 19
 82|   ;|  -1| 19
 83|   t|  -1| 20
 84|   i|  29| 20
 85|   =|  -1| 20
 86|   i|   6| 20
 87|   (|  -1| 20
 88|   i|  27| 20
 89|   )|  -1| 20
 90|   ;|  -1| 20
 91|   i|  11| 21
 92|   (|  -1| 21
 93|   i|  28| 21
 94|   ,|  -1| 21
 95|   i|  29| 21
 96|   )|  -1| 21
 97|   ;|  -1| 21
 98|   }|  -1| 22
 99|   m|  30| 24
100|   {|  -1| 25
101|   t|  -1| 26
102|   i|  31| 26
103|   ;|  -1| 26
104|   i|  31| 27
105|   =|  -1| 27
106|   i|   2| 27
107|   (|  -1| 27
108|   l|  32| 27
109|   ,|  -1| 27
110|   l|  33| 27
111|   )|  -1| 27
112|   ;|  -1| 27
113|   t|  -1| 28
114|   i|  34| 28
115|   ;|  -1| 28
116|   t|  -1| 29
117|   i|  35| 29
118|   =|  -1| 29
119|   l|  36| 29
120|   ;|  -1| 29
121|   i|  31| 30
122|   =|  -1| 30
123|   i|  31| 30
124|   v|  -1| 30
125|   i|  35| 30
126|   v|  -1| 30
127|   l|  37| 30
128|   v|  -1| 30
129|   l|  38| 30
130|   ;|  -1| 30
131|   t|  -1| 31
132|   i|  39| 31
133|   =|  -1| 31
134|   i|  14| 31
135|   (|  -1| 31
136|   i|  31| 31
137|   )|  -1| 31
138|   ;|  -1| 31
139|   i|   0| 32
140|   (|  -1| 32
141|   i|  39| 32
142|   )|  -1| 32
143|   ;|  -1| 32
144|   t|  -1| 33
145|   i|  40| 33
146|   =|  -1| 33
147|   l|  41| 33
148|   ;|  -1| 33
149|   t|  -1| 34
150|   i|  42| 34
151|   =|  -1| 34
152|   i|   9| 34
153|   (|  -1| 34
154|   )|  -1| 34
155|   ;|  -1| 34
156|   w|  -1| 35
157|   (|  -1| 35
158|   i|  40| 35
159|   v|  -1| 35
160|   l|  43| 35
161|   )|  -1| 35
162|   {|  -1| 36
163|   i|  40| 37
164|   =|  -1| 37
165|   i|  40| 37
166|   v|  -1| 37
167|   l|  44| 37
168|   ;|  -1| 37
169|   i|  13| 38
170|   (|  -1| 38
171|   i|  42| 38
172|   ,|  -1| 38
173|   l|  45| 38
174|   )|  -1| 38
175|   ;|  -1| 38
176|   }|  -1| 39
177|   }|  -1| 40
